title,company,location,url,source,page,category,scraped_at
"Software Development Manager, ML Accelerators, AWS Neuron, Annapurna Labs",Unknown,USA,/co/Annapurna-Labs-%28U.S.%29-Inc./Jobs/--in-United-States?uuid=&radius=25,ZipRecruiter,1,core-engineering,2026-01-29T03:49:15.695740
Be Seen First for this job,Unknown,USA,/co/Pharmetika/Jobs/--in-United-States?uuid=&radius=25,ZipRecruiter,1,core-engineering,2026-01-29T03:49:15.695740
17481-Application Development-GA,Unknown,USA,/co/Pride-Global/Jobs/--in-United-States?uuid=RqhSp5xMorsKeit%2Fk%2BvyKYrFaPE%3D&radius=25,ZipRecruiter,1,core-engineering,2026-01-29T03:49:15.695740
Be Seen First for this job,Unknown,USA,"/co/DiverseITS,-LLC/Jobs/--in-United-States?uuid=&radius=25",ZipRecruiter,1,core-engineering,2026-01-29T03:49:15.695740
Be Seen First for this job,Unknown,USA,/co/Volano-Software/Jobs/--in-United-States?uuid=hajGRsZ1purAGLVNZUNSv%2B42UNA%3D&radius=25,ZipRecruiter,1,core-engineering,2026-01-29T03:49:15.695740
Be Seen First for this job,Unknown,USA,/co/CAREMATIX-INC/Jobs/--in-United-States?uuid=lJGdPb%2BlIkKWGhK5cd0EQXGPKKU%3D&radius=25,ZipRecruiter,1,core-engineering,2026-01-29T03:49:15.695740
Senior Backend API Engineer (Contract),Unknown,USA,/co/Information-Consulting-Services/Jobs/--in-United-States?uuid=VWdA8P8XUgC89TEOzZZvDqkgjco%3D&radius=25,ZipRecruiter,1,core-engineering,2026-01-29T03:49:15.695740
Bilingual DevOps Engineer,Unknown,USA,/co/Burnetts-Staffing/Jobs/--in-United-States?uuid=t%2BqkcLBe2P3lB7P%2FNfBy9jor544%3D&radius=25,ZipRecruiter,1,core-engineering,2026-01-29T03:49:15.695740
Custom Software Engineer,Unknown,USA,/co/Gridiron-IT-Solutions-LLC/Jobs/--in-United-States?uuid=rGSeuiRFhW0XVYzJdt%2FQPbew824%3D&radius=25,ZipRecruiter,1,core-engineering,2026-01-29T03:49:15.695740
AI Governance Manager,Unknown,USA,/co/Allstate/Jobs/--in-United-States?uuid=J3bgnX98R3g5Zgef%2BYuzNK3PPvY%3D&radius=25,ZipRecruiter,1,core-engineering,2026-01-29T03:49:15.695740
Chief Engineer #532,Unknown,USA,"/co/Photo-Sonics,-Inc/Jobs/--in-United-States?uuid=QpDJWsDkhKrsLQ5CtU0oszzFZZ4%3D&radius=25",ZipRecruiter,1,core-engineering,2026-01-29T03:49:15.695740
Be Seen First for this job,Unknown,USA,/co/ThinkHire-LLC/Jobs/--in-United-States?uuid=&radius=25,ZipRecruiter,1,core-engineering,2026-01-29T03:49:15.695740
Junior/Entry Level Backend Developer,Unknown,USA,/co/SynergisticIT/Jobs/--in-United-States?uuid=ZA%2BNa9lblBakS9dCW9qjFd%2FBZPE%3D&radius=25,ZipRecruiter,1,core-engineering,2026-01-29T03:49:15.695740
Case Management Engineer with Security Clearance,Unknown,USA,/co/Epiphany-Resource-Group/Jobs/--in-United-States?uuid=&radius=25,ZipRecruiter,1,core-engineering,2026-01-29T03:49:15.695740
"Software Engineer - Java, Backend III",Unknown,USA,"/co/Javen-Technologies,-Inc./Jobs/--in-United-States?uuid=7sBch84qi22g65XzgITWk40v%2FzU%3D&radius=25",ZipRecruiter,1,core-engineering,2026-01-29T03:49:15.695740
Senior Backend Python Developer,Unknown,USA,/co/Lyteforge-Technologies-LLC/Jobs/--in-United-States?uuid=&radius=25,ZipRecruiter,1,core-engineering,2026-01-29T03:49:15.695740
Mobile App Developer,Unknown,USA,"/co/Data-Core-System,-Inc./Jobs/--in-United-States?uuid=&radius=25",ZipRecruiter,1,core-engineering,2026-01-29T03:49:15.695740
Back - End Engineer,Unknown,USA,/co/ITR-Group/Jobs/--in-United-States?uuid=NaTmt2b2C%2BzqkfgKOxFw77XHmt4%3D&radius=25,ZipRecruiter,1,core-engineering,2026-01-29T03:49:15.695740
Be Seen First for this job,Unknown,USA,/co/The-Golf-Performance-Center/Jobs/--in-United-States?uuid=HsYb%2BzpuA%2Bs%2Be1sz3%2BhFsYiaYcU%3D&radius=25,ZipRecruiter,1,core-engineering,2026-01-29T03:49:15.695740
Senior Back-End Software Engineer 250K+ (NYC Hybrid),Unknown,USA,/co/Averity/Jobs/--in-United-States?uuid=1WvzN971%2BWs8yJOhRi8zdHchGZM%3D&radius=25,ZipRecruiter,1,core-engineering,2026-01-29T03:49:15.695740
